CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DateDebutOperationPrelBio;HeureDebutOperationPrelBio;DateFinOperationPrelbio;HeureFinOperationPrelBio;CdProducteur;NomProducteur;CdPreleveur;NomPreleveur;CdDeterminateur;NomDéterminateur;CodeSandreRdd;NomRdd;CdStatutResBioOperationPrelBio;MnemoStatutResBioOperationPrelBio;CdQualResBioOperationPrelBio;LbQualResBioOperationPrelBio;RefOperationPrelBio;ObjOperationPrelBio;LongProspecOperationPrelBio;LargeurMoyLameEauOperationPrelBio;HMoyLamOperationPrelBio;SurfTotProspecteeOperationPrelBio
02001725;L'ISCHERT À SUNDHOUSE;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-06-30;11:24:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082968;;;;;
02001738;LE MÜHLBACH DE GERSTHEIM (= LACHTER) À GERSTHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-09-01;13:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089764;;;;;
02001750;L'ILL À OLTINGUE;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;10:15:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082969;;;;;
02001750;L'ILL À OLTINGUE;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-25;14:19:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089765;;;;;
02001945;LE HIRTZBACH À HIRSINGUE;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;17:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082970;;;;;
02001990;LE DORFBAECHLE À CARSPACH (HOEFFELMATT);004;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;14:45:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082971;;;;;
02002000;L'ILL À CARSPACH;013;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;13:15:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082972;;;;;
02002000;L'ILL À CARSPACH;013;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-26;09:33:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089766;;;;;
02002800;LE ZIPFELGRABEN À ASPACH;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-05;18:15:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089767;;;;;
02003100;LE THALBACH À WITTERSDORF;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;16:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082973;;;;;
02003100;LE THALBACH À WITTERSDORF;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-26;08:05:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089768;;;;;
02003200;L'ILL À TAGOLSHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;10:45:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082974;;;;;
02003200;L'ILL À TAGOLSHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-26;11:03:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089769;;;;;
02003350;LA LARGUE À SEPPOIS-LE-BAS;006;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;12:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082975;;;;;
02003350;LA LARGUE À SEPPOIS-LE-BAS;006;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-25;16:05:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054;Contrôle de surveillance des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089770;;;;;
02003397;LE RUISSEAU DE LARGITZEN À FRIESEN;004;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;14:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082976;;;;;
02003400;LA LARGUE À FRIESEN;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;16:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082977;;;;;
02003400;LA LARGUE À FRIESEN;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-25;17:22:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089771;;;;;
02003610;L'ELBAECHEL À WOLFERSDORF;007;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-10;09:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082978;;;;;
02003617;LE TRAUBACH À TRAUBACH-LE-BAS;006;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-10;11:30:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082979;;;;;
02003670;LE SOULTZBACH À BALSCHWILLER;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-26;14:52:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089772;;;;;
02003800;LA LARGUE À SPECHBACH-LE-BAS;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;09:00:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082980;;;;;
02003800;LA LARGUE À SPECHBACH-LE-BAS;002;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-26;13:45:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089773;;;;;
02004000;L'ILL À BRUNSTATT;015;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-07;16:45:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082981;;;;;
02004000;L'ILL À BRUNSTATT;015;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-25;10:14:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089774;;;;;
02004300;LA DOLLER À SEWEN (LERCHENMATT);001;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;17:34:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000106;Réseau de Référence Pérenne de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082982;;;;;
02004300;LA DOLLER À SEWEN (LERCHENMATT);001;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-20;14:18:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000106;Réseau de Référence Pérenne de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089775;;;;;
02004990;LE MICHELBACH À MICHELBACH;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-05-19;10:02:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082948;;;;;
02005688;LE BAERENBACH À REININGUE (ABBAYE D'OELENBERG);006;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-10;12:22:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082983;;;;;
02005700;LA DOLLER À REININGUE;016;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-10;13:40:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054/0200000058;Contrôle de surveillance des cours d'eau du bassin Rhin/Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082984;;;;;
02005700;LA DOLLER À REININGUE;016;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-05;15:55:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000054/0200000058;Contrôle de surveillance des cours d'eau du bassin Rhin/Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089776;;;;;
02006450;LE GROSS RUNZGRABEN À BURNHAUPT-LE-BAS (NIEDERHOLZ);003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-10;10:40:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000063;Contrôles opérationnels des cours d'eau du bassin Rhin;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082985;;;;;
02007000;L'ILL À RUELISHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-08;09:12:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082986;;;;;
02007000;L'ILL À RUELISHEIM;003;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2021-08-05;13:55:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7089777;;;;;
02009000;LA THUR À WILLER-SUR-THUR;007;13;Macroinvertébrés aquatiques;1025;Qualité de l'eau - Prélèvement des macro-invertébrés aquatiques en rivières peu profondes (NF T90-333 Septembre 2016);2020-07-09;15:33:00;;;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);41749411900056;AQUABIO;41749411900056;AQUABIO;0200000058;Réseau de Suivi et d'Analyse Long Terme des tendances de la qualité des cours d'eau du bassin Rhin-Meuse;3;Donnée contrôlée niveau 2 (données validées);1;Correcte;7082987;;;;;
